WE(1).Potential (V),Time (s),WE(1).Current (A)
-0.000125122070312497,1.10685399720546,-6.072998046875E-06
-0.000109863281249997,1.11685399718021,-6.0028076171875E-06
-0.000131225585937506,1.12685399715497,-5.99365234375E-06
-0.000128173828124994,1.13685399712972,-5.9722900390625E-06
-0.000119018554687503,1.14685399710447,-5.9295654296875E-06
-0.000115966796875006,1.15685399707922,-5.9295654296875E-06
-0.000109863281249997,1.16685399705398,-5.8685302734375E-06
-0.000119018554687503,1.17685399702873,-5.841064453125E-06
-0.000134277343750003,1.18685399700348,-5.828857421875E-06
-0.000128173828124994,1.19685399697823,-5.7830810546875E-06
-0.000119018554687503,1.20685399695299,-5.7830810546875E-06
-0.0001220703125,1.21685399692774,-5.72509765625E-06
-0.000128173828124994,1.22685399690249,-5.7220458984375E-06
-0.000131225585937506,1.23685399687724,-5.70068359375E-06
-0.0001220703125,1.246853996852,-5.657958984375E-06
-0.000119018554687503,1.25685399682675,-5.6549072265625E-06
-0.000100708007812506,1.2668539968015,-5.615234375E-06
-0.0001373291015625,1.27685399677625,-5.60302734375E-06
-0.0001068115234375,1.28685399675101,-5.57861328125E-06
-0.000128173828124994,1.29685399672576,-5.548095703125E-06
-0.000143432617187494,1.30685399670051,-5.5450439453125E-06
-0.000152587890625,1.31685399667526,-5.4901123046875E-06
-0.000143432617187494,1.32685399665002,-5.487060546875E-06
-0.0001220703125,1.33685399662477,-5.474853515625E-06
-0.000109863281249997,1.34685399659952,-5.43212890625E-06
-0.000119018554687503,1.35685399657427,-5.4290771484375E-06
-0.000125122070312497,1.36685399654903,-5.3802490234375E-06
-0.000125122070312497,1.37685399652378,-5.389404296875E-06
-0.000140380859374997,1.38685399649853,-5.3680419921875E-06
-0.000125122070312497,1.39685399647328,-5.340576171875E-06
-0.0001068115234375,1.40685399644804,-5.3253173828125E-06
-0.000115966796875006,1.41685399642279,-5.2978515625E-06
-0.000140380859374997,1.42685399639754,-5.28564453125E-06
-0.0001373291015625,1.43685399637229,-5.2642822265625E-06
-0.000134277343750003,1.44685399634704,-5.230712890625E-06
-0.0001068115234375,1.4568539963218,-5.2276611328125E-06
-0.0001373291015625,1.46685399629655,-5.1727294921875E-06
-0.0001220703125,1.4768539962713,-5.2001953125E-06
-0.000125122070312497,1.48685399624605,-5.157470703125E-06
-0.000100708007812506,1.49685399622081,-5.126953125E-06
-0.0001373291015625,1.50685399619556,-5.126953125E-06
-0.000115966796875006,1.51685399617031,-5.0872802734375E-06
-0.0001220703125,1.52685399614506,-5.096435546875E-06
-0.000131225585937506,1.53685399611982,-5.0689697265625E-06
-0.000131225585937506,1.54685399609457,-5.0445556640625E-06
-0.000112915039062494,1.55685399606932,-5.0445556640625E-06
-0.000119018554687503,1.56685399604407,-4.998779296875E-06
-0.0001373291015625,1.57685399601883,-4.9896240234375E-06
-0.000131225585937506,1.58685399599358,-4.9896240234375E-06
-0.000119018554687503,1.59685399596833,-4.949951171875E-06
-0.000119018554687503,1.60685399594308,-4.9591064453125E-06
-0.000177001953125006,1.61685399591784,-4.91607666015625E-06
-0.000143432617187494,1.62685399589259,-4.91485595703125E-06
-0.000155639648437497,1.63685399586734,-4.9102783203125E-06
-0.000131225585937506,1.64685399584209,-4.8895263671875E-06
-0.0001373291015625,1.65685399581685,-4.87823486328125E-06
-0.000140380859374997,1.6668539957916,-4.85382080078125E-06
-0.000146484375000006,1.67685399576635,-4.85595703125E-06
-0.0001373291015625,1.6868539957411,-4.8291015625E-06
-0.000161743164062506,1.69685399571586,-4.8004150390625E-06
-0.0001373291015625,1.70685399569061,-4.80316162109375E-06
-0.000125122070312497,1.71685399566536,-4.76165771484375E-06
-0.000158691406249994,1.72685399564011,-4.775390625E-06
-0.000146484375000006,1.73685399561487,-4.7491455078125E-06
-0.0001678466796875,1.74685399558962,-4.72503662109375E-06
-0.0001373291015625,1.75685399556437,-4.74273681640625E-06
-0.000155639648437497,1.76685399553912,-4.7003173828125E-06
-0.000149536132812503,1.77685399551387,-4.71710205078125E-06
-0.000131225585937506,1.78685399548863,-4.68109130859375E-06
-0.000119018554687503,1.79685399546338,-4.66827392578125E-06
-0.000146484375000006,1.80685399543813,-4.66827392578125E-06
-0.000143432617187494,1.81685399541288,-4.6307373046875E-06
-0.000140380859374997,1.82685399538764,-4.638671875E-06
-0.000134277343750003,1.83685399536239,-4.61273193359375E-06
-0.000131225585937506,1.84685399533714,-4.59930419921875E-06
-0.000140380859374997,1.85685399531189,-4.60357666015625E-06
-0.0001678466796875,1.86685399528665,-4.5599365234375E-06
-0.000149536132812503,1.8768539952614,-4.56298828125E-06
-0.000134277343750003,1.88685399523615,-4.5501708984375E-06
-0.000128173828124994,1.8968539952109,-4.5306396484375E-06
-0.000128173828124994,1.90685399518566,-4.53521728515625E-06
-0.000173950195312494,1.91685399516041,-4.4976806640625E-06
-0.000143432617187494,1.92685399513516,-4.50714111328125E-06
-0.000131225585937506,1.93685399510991,-4.49371337890625E-06
-0.000155639648437497,1.94685399508467,-4.4671630859375E-06
-0.000140380859374997,1.95685399505942,-4.47845458984375E-06
-0.000161743164062506,1.96685399503417,-4.449462890625E-06
-0.000149536132812503,1.97685399500892,-4.44854736328125E-06
-0.000146484375000006,1.98685399498368,-4.4342041015625E-06
-0.0001220703125,1.99685399495843,-4.4036865234375E-06
-0.000155639648437497,2.00685399493318,-4.412841796875E-06
-0.000164794921875003,2.01685399490793,-4.38201904296875E-06
-0.000152587890625,2.02685399488269,-4.39361572265625E-06
-0.000146484375000006,2.03685399485744,-4.36981201171875E-06
-0.000146484375000006,2.04685399483219,-4.35089111328125E-06
-0.000128173828124994,2.05685399480694,-4.35516357421875E-06
-0.000140380859374997,2.0668539947817,-4.31915283203125E-06
-0.000146484375000006,2.07685399475645,-4.33013916015625E-06
-0.0001678466796875,2.0868539947312,-4.31640625E-06
-0.000134277343750003,2.09685399470595,-4.2950439453125E-06
-0.000152587890625,2.10685399468071,-4.31488037109375E-06
-0.000177001953125006,2.11685399465546,-4.26727294921875E-06
-0.000149536132812503,2.12685399463021,-4.26666259765625E-06
-0.0001373291015625,2.13685399460496,-4.266357421875E-06
-0.000143432617187494,2.14685399457971,-4.24285888671875E-06
-0.000155639648437497,2.15685399455447,-4.25384521484375E-06
-0.000128173828124994,2.16685399452922,-4.21875E-06
-0.000149536132812503,2.17685399450397,-4.2388916015625E-06
-0.000140380859374997,2.18685399447872,-4.2205810546875E-06
-0.000152587890625,2.19685399445348,-4.19647216796875E-06
-0.000161743164062506,2.20685399442823,-4.19708251953125E-06
-0.000164794921875003,2.21685399440298,-4.1790771484375E-06
-0.000155639648437497,2.22685399437773,-4.1741943359375E-06
-0.000149536132812503,2.23685399435249,-4.1571044921875E-06
-0.000155639648437497,2.24685399432724,-4.14886474609375E-06
-0.000146484375000006,2.25685399430199,-4.15191650390625E-06
