Potential applied (V),WE(1).Current (A),WE(1).Potential (V)
0.24993896484375,3.12591552734375E-05,0.250335693359375
0.247955322265625,3.121337890625E-05,0.248321533203125
0.2459716796875,3.11614990234375E-05,0.246368408203125
0.243988037109375,3.111572265625E-05,0.244415283203125
0.24200439453125,3.106689453125E-05,0.242340087890625
0.240020751953125,3.1011962890625E-05,0.240386962890625
0.238037109375,3.095703125E-05,0.238372802734375
0.236053466796875,3.0902099609375E-05,0.2364501953125
0.23406982421875,3.0841064453125E-05,0.23443603515625
0.232086181640625,3.0780029296875E-05,0.232421875
0.2301025390625,3.07220458984375E-05,0.23046875
0.228118896484375,3.06549072265625E-05,0.22845458984375
0.22613525390625,3.0584716796875E-05,0.22650146484375
0.224151611328125,3.0517578125E-05,0.22454833984375
0.22216796875,3.04443359375E-05,0.22247314453125
0.220184326171875,3.0364990234375E-05,0.22052001953125
0.21820068359375,3.02825927734375E-05,0.21856689453125
0.216217041015625,3.01971435546875E-05,0.216583251953125
0.2142333984375,3.01116943359375E-05,0.21453857421875
0.212249755859375,3.00140380859375E-05,0.212646484375
0.21026611328125,2.991943359375E-05,0.2105712890625
0.208282470703125,2.9815673828125E-05,0.2086181640625
0.206298828125,2.9705810546875E-05,0.206573486328125
0.204315185546875,2.95989990234375E-05,0.20458984375
0.20233154296875,2.947998046875E-05,0.202667236328125
0.200347900390625,2.9351806640625E-05,0.200714111328125
0.1983642578125,2.92236328125E-05,0.19866943359375
0.196380615234375,2.9095458984375E-05,0.196746826171875
0.19439697265625,2.89459228515625E-05,0.194732666015625
0.192413330078125,2.87994384765625E-05,0.192718505859375
0.1904296875,2.8643798828125E-05,0.190704345703125
0.188446044921875,2.84759521484375E-05,0.188751220703125
0.18646240234375,2.830810546875E-05,0.186798095703125
0.184478759765625,2.81219482421875E-05,0.18475341796875
0.1824951171875,2.79388427734375E-05,0.182708740234375
0.180511474609375,2.77374267578125E-05,0.180816650390625
0.17852783203125,2.75360107421875E-05,0.178863525390625
0.176544189453125,2.7313232421875E-05,0.176788330078125
0.174560546875,2.7093505859375E-05,0.1748046875
0.172576904296875,2.6861572265625E-05,0.172821044921875
0.17059326171875,2.6611328125E-05,0.1707763671875
0.168609619140625,2.63641357421875E-05,0.1688232421875
0.1666259765625,2.60986328125E-05,0.1668701171875
0.164642333984375,2.581787109375E-05,0.164947509765625
0.16265869140625,2.5518798828125E-05,0.162872314453125
0.160675048828125,2.52197265625E-05,0.160919189453125
0.15869140625,2.4896240234375E-05,0.158905029296875
0.156707763671875,2.45880126953125E-05,0.156982421875
0.15472412109375,2.42401123046875E-05,0.155029296875
0.152740478515625,2.38983154296875E-05,0.152984619140625
0.1507568359375,2.35137939453125E-05,0.15093994140625
0.148773193359375,2.31353759765625E-05,0.149017333984375
0.14678955078125,2.27508544921875E-05,0.147003173828125
0.144805908203125,2.23419189453125E-05,0.145050048828125
0.142822265625,2.19085693359375E-05,0.14300537109375
0.140838623046875,2.14813232421875E-05,0.141021728515625
0.13885498046875,2.10357666015625E-05,0.1390380859375
0.136871337890625,2.05413818359375E-05,0.13702392578125
0.1348876953125,2.0068359375E-05,0.135101318359375
0.132904052734375,1.95526123046875E-05,0.133056640625
0.13092041015625,1.9036865234375E-05,0.131072998046875
0.128936767578125,1.8499755859375E-05,0.129180908203125
0.126953125,1.79351806640625E-05,0.127105712890625
0.124969482421875,1.737060546875E-05,0.125091552734375
0.12298583984375,1.67694091796875E-05,0.12310791015625
0.121002197265625,1.6162109375E-05,0.12115478515625
0.1190185546875,1.55487060546875E-05,0.119140625
0.117034912109375,1.48956298828125E-05,0.117156982421875
0.11505126953125,1.42242431640625E-05,0.115142822265625
0.113067626953125,1.3531494140625E-05,0.113189697265625
0.111083984375,1.28021240234375E-05,0.111175537109375
0.109100341796875,1.21002197265625E-05,0.1092529296875
0.10711669921875,1.136474609375E-05,0.107177734375
0.105133056640625,1.05926513671875E-05,0.105224609375
0.1031494140625,9.80224609375E-06,0.10321044921875
0.101165771484375,8.99658203125E-06,0.10125732421875
0.09918212890625,8.16650390625E-06,0.099273681640625
0.097198486328125,7.3150634765625E-06,0.09722900390625
0.09521484375,6.4483642578125E-06,0.09521484375
0.093231201171875,5.572509765625E-06,0.09332275390625
0.09124755859375,4.669189453125E-06,0.09130859375
0.089263916015625,3.73016357421875E-06,0.0892333984375
0.0872802734375,2.77679443359375E-06,0.087310791015625
0.085296630859375,1.80938720703125E-06,0.08526611328125
0.08331298828125,8.1146240234375E-07,0.083282470703125
0.081329345703125,-1.9622802734375E-07,0.08123779296875
0.079345703125,-1.201171875E-06,0.079254150390625
0.077362060546875,-2.28118896484375E-06,0.077178955078125
0.07537841796875,-3.36212158203125E-06,0.07513427734375
0.073394775390625,-4.459228515625E-06,0.07305908203125
0.0714111328125,-5.56549072265625E-06,0.070953369140625
0.069427490234375,-6.69036865234375E-06,0.0689697265625
0.06744384765625,-7.8338623046875E-06,0.06732177734375
0.065460205078125,-8.99658203125E-06,0.06536865234375
0.0634765625,-1.01806640625E-05,0.063385009765625
0.061492919921875,-1.136474609375E-05,0.06134033203125
0.05950927734375,-1.25701904296875E-05,0.059356689453125
0.057525634765625,-1.38092041015625E-05,0.057373046875
0.0555419921875,-1.5032958984375E-05,0.055389404296875
0.053558349609375,-1.62933349609375E-05,0.053436279296875
0.05157470703125,-1.75750732421875E-05,0.05133056640625
0.049591064453125,-1.8841552734375E-05,0.0495330810546875
0.047607421875,-2.01507568359375E-05,0.0475494384765625
0.045623779296875,-2.144775390625E-05,0.0455535888671875
0.04364013671875,-2.27294921875E-05,0.043560791015625
0.041656494140625,-2.40631103515625E-05,0.041595458984375
0.0396728515625,-2.53326416015625E-05,0.0396453857421875
0.037689208984375,-2.6654052734375E-05,0.0376556396484375
0.03570556640625,-2.79754638671875E-05,0.035638427734375
0.033721923828125,-2.9351806640625E-05,0.0336822509765625
0.03173828125,-3.0694580078125E-05,0.031689453125
0.029754638671875,-3.204345703125E-05,0.0296966552734375
0.02777099609375,-3.33648681640625E-05,0.0277252197265625
0.025787353515625,-3.470458984375E-05,0.0257354736328125
0.0238037109375,-3.60748291015625E-05,0.0237518310546875
0.021820068359375,-3.73870849609375E-05,0.0217559814453125
0.01983642578125,-3.87420654296875E-05,0.019781494140625
0.017852783203125,-4.00482177734375E-05,0.0177734375
0.015869140625,-4.136962890625E-05,0.0157928466796875
0.013885498046875,-4.2669677734375E-05,0.013824462890625
0.01190185546875,-4.39971923828125E-05,0.0118438720703125
0.009918212890625,-4.52728271484375E-05,0.0098541259765625
0.0079345703125,-4.6551513671875E-05,0.0078460693359375
0.005950927734375,-4.7760009765625E-05,0.00588378906250001
0.00396728515625,-4.903564453125E-05,0.0038726806640625
0.001983642578125,-5.01983642578125E-05,0.00189208984375
